customer_id,date,year,month,current_plan_type,base_price_eur,data_limit_mb,voice_limit_min,sms_limit,roaming_limit_mb,roaming_limit_min,data_usage_mb,voice_minutes,sms_count,roaming_data_mb,roaming_minutes,bill_amount_eur,overuse_flag,churn_event
C00001,1/1/2022,2022,1,Standard,25,8000,500,200,500,40,3984.28,52.7,11,30.2,0.6,25,0,0
C00001,2/1/2022,2022,2,Standard,25,8000,500,200,500,40,4494.07,38,12,163.56,4.2,25,0,0
C00001,3/1/2022,2022,3,Standard,25,8000,500,200,500,40,4881.73,37.6,11,190.09,4.3,25,0,0
C00001,4/1/2022,2022,4,Standard,25,8000,500,200,500,40,5113.03,40.5,20,91.08,1.9,25,0,0
C00001,5/1/2022,2022,5,Standard,25,8000,500,200,500,40,3874.71,36.8,15,158.03,2.5,25,0,0
C00001,6/1/2022,2022,6,Standard,25,8000,500,200,500,40,5526.8,43.2,11,263.05,4.2,25,0,0
C00001,7/1/2022,2022,7,Standard,25,8000,500,200,500,40,5635.45,47.9,16,202.69,3,25,0,0
C00001,8/1/2022,2022,8,Standard,25,8000,500,200,500,40,6080.71,43.8,16,256.04,6.2,25,0,0
C00001,9/1/2022,2022,9,Standard,25,8000,500,200,500,40,4854.82,45.4,15,219.03,4.6,25,0,0
C00001,10/1/2022,2022,10,Standard,25,8000,500,200,500,40,4358,52.2,15,72.7,1.6,25,0,0
C00001,11/1/2022,2022,11,Standard,25,8000,500,200,500,40,4815.88,36.9,17,112.36,1.6,25,0,0
C00001,12/1/2022,2022,12,Standard,25,8000,500,200,500,40,5386.82,29.4,14,26.5,0.7,25,0,0
C00001,1/1/2023,2023,1,Standard,25,8000,500,200,500,40,3457.33,45.7,17,150.58,3.6,25,0,0
C00001,2/1/2023,2023,2,Standard,25,8000,500,200,500,40,3773.35,40.8,15,77.93,1.3,25,0,0
C00001,3/1/2023,2023,3,Standard,25,8000,500,200,500,40,5598.64,46.5,14,146.99,2.4,25,0,0
C00001,4/1/2023,2023,4,Standard,25,8000,500,200,500,40,4861.57,28.5,14,110.86,1.8,25,0,0
C00001,5/1/2023,2023,5,Standard,25,8000,500,200,500,40,4172.89,39.3,20,178.29,3.1,25,0,0
C00001,6/1/2023,2023,6,Standard,25,8000,500,200,500,40,5301.45,44.6,18,231.3,4.7,25,0,0
C00001,7/1/2023,2023,7,Standard,25,8000,500,200,500,40,5732.29,37.1,17,198.82,3.8,25,0,0
C00001,8/1/2023,2023,8,Standard,25,8000,500,200,500,40,5295.8,47.8,15,232.86,4.1,25,0,0
C00001,9/1/2023,2023,9,Standard,25,8000,500,200,500,40,5924.12,36.8,19,155.71,3.3,25,0,0
C00001,10/1/2023,2023,10,Standard,25,8000,500,200,500,40,4155.84,37.8,16,203.18,3.2,25,0,0
C00001,11/1/2023,2023,11,Standard,25,8000,500,200,500,40,5726.21,43.8,15,151.74,2.7,25,0,0
C00001,12/1/2023,2023,12,Standard,25,8000,500,200,500,40,5348.53,42.4,18,167.98,3.1,25,0,0
C00001,1/1/2024,2024,1,Standard,25,8000,500,200,500,40,4021.16,50.8,12,63.89,1.2,25,0,0
C00001,2/1/2024,2024,2,Standard,25,8000,500,200,500,40,3468.65,53.4,14,212.75,5,25,0,0
C00001,3/1/2024,2024,3,Standard,25,8000,500,200,500,40,4644.72,46.5,17,65.28,1.1,25,0,0
C00001,4/1/2024,2024,4,Standard,25,8000,500,200,500,40,5046.25,33.3,18,185.23,3.7,25,0,0
C00001,5/1/2024,2024,5,Standard,25,8000,500,200,500,40,5024.15,42.7,13,111.39,2.4,25,0,0
C00001,6/1/2024,2024,6,Standard,25,8000,500,200,500,40,5912.71,39.3,10,171.67,2.5,25,0,0
C00001,7/1/2024,2024,7,Standard,25,8000,500,200,500,40,6218.62,23.5,18,68.34,1.5,25,0,0
C00001,8/1/2024,2024,8,Standard,25,8000,500,200,500,40,5947.19,40.5,17,98.56,1.6,25,0,0
C00001,9/1/2024,2024,9,Standard,25,8000,500,200,500,40,4476.77,43.2,15,169.94,2.5,25,0,0
C00001,10/1/2024,2024,10,Standard,25,8000,500,200,500,40,3550.5,42.6,14,208.5,5.3,25,0,0
C00001,11/1/2024,2024,11,Standard,25,8000,500,200,500,40,5597.14,46.3,14,127.82,3.3,25,0,0
C00001,12/1/2024,2024,12,Standard,25,8000,500,200,500,40,6270.11,48.6,18,169.27,4,25,0,0
C00002,1/1/2022,2022,1,Standard,25,8000,500,200,500,40,8487.93,637.8,71,132.52,2.3,28.24,1,0
C00002,2/1/2022,2022,2,Standard,25,8000,500,200,500,40,8667.72,487.5,81,168.2,2.6,25.67,1,0
C00002,3/1/2022,2022,3,Standard,25,8000,500,200,500,40,11404.02,420.3,102,169.23,3.8,28.4,1,0
C00002,4/1/2022,2022,4,Standard,25,8000,500,200,500,40,11926.64,648.3,85,116.1,2.2,31.89,1,0
C00002,5/1/2022,2022,5,Standard,25,8000,500,200,500,40,9738.82,988.7,74,197.9,3.1,36.51,1,0
C00002,6/1/2022,2022,6,Standard,25,8000,500,200,500,40,13497.19,798.4,76,240.78,4.8,36.47,1,0
C00002,7/1/2022,2022,7,Standard,25,8000,500,200,500,40,12771.91,728.3,64,204.74,3,34.34,1,0
C00002,8/1/2022,2022,8,Standard,25,8000,500,200,500,40,11789.24,745.6,70,109.09,2.7,33.7,1,0
C00002,9/1/2022,2022,9,Standard,25,8000,500,200,500,40,9194.56,464.5,59,98.85,1.7,26.19,1,0
C00002,10/1/2022,2022,10,Standard,25,8000,500,200,500,40,6650.1,513.1,51,134.37,2.9,25.26,1,0
C00002,11/1/2022,2022,11,Standard,25,8000,500,200,500,40,6964.45,454.7,40,136.32,2.4,25,0,0
C00002,12/1/2022,2022,12,Standard,25,8000,500,200,500,40,7118.38,309,42,135.53,2.7,25,0,0
C00002,1/1/2023,2023,1,Standard,25,8000,500,200,500,40,4207.92,426.8,34,79.59,1.6,25,0,0
C00002,2/1/2023,2023,2,Standard,25,8000,500,200,500,40,4273.11,354.6,28,37.81,0.6,25,0,0
C00002,3/1/2023,2023,3,Standard,25,8000,500,200,500,40,6184.29,330.7,31,22.34,0.6,25,0,0
C00002,4/1/2023,2023,4,Standard,25,8000,500,200,500,40,5387.23,341.3,55,137.96,3.2,25,0,0
C00002,5/1/2023,2023,5,Standard,25,8000,500,200,500,40,6148.27,654.2,57,103.77,2.6,28.08,1,0
C00002,6/1/2023,2023,6,Standard,25,8000,500,200,500,40,6458.31,753.7,42,68.35,1.7,30.07,1,0
C00002,7/1/2023,2023,7,Standard,25,8000,500,200,500,40,11685.63,864.5,79,217.72,4.6,35.98,1,0
C00002,8/1/2023,2023,8,Standard,25,8000,500,200,500,40,11101.76,737.1,67,238.73,6,32.84,1,0
C00002,9/1/2023,2023,9,Standard,25,8000,500,200,500,40,8115.34,732.2,61,109.2,1.6,29.76,1,0
C00002,10/1/2023,2023,10,Standard,25,8000,500,200,500,40,8111.38,813.9,97,233.66,3.8,31.39,1,0
C00002,11/1/2023,2023,11,Standard,25,8000,500,200,500,40,9285.68,742.2,84,121.57,1.8,31.13,1,0
C00002,12/1/2023,2023,12,Standard,25,8000,500,200,500,40,14929.36,767.9,76,143.47,2.6,37.29,1,0
C00002,1/1/2024,2024,1,Standard,25,8000,500,200,500,40,10026.59,688.3,62,153.35,2.9,30.79,1,0
C00002,2/1/2024,2024,2,Standard,25,8000,500,200,500,40,7920.88,684.5,63,138.31,2.4,28.69,1,0
C00002,3/1/2024,2024,3,Standard,25,8000,500,200,500,40,8148.61,451.9,67,120.16,2.9,25.15,1,0
C00002,4/1/2024,2024,4,Standard,25,8000,500,200,500,40,5701.36,438.2,42,153.75,2.8,25,0,0
C00002,5/1/2024,2024,5,Standard,25,8000,500,200,500,40,7108.58,372.9,44,74.03,1.3,25,0,0
C00002,6/1/2024,2024,6,Standard,25,8000,500,200,500,40,5341.5,396.4,42,124.59,2.6,25,0,0
C00002,7/1/2024,2024,7,Standard,25,8000,500,200,500,40,6673.32,440,25,111.17,1.7,25,0,0
C00002,8/1/2024,2024,8,Standard,25,8000,500,200,500,40,5756.68,490.7,30,159.96,3.8,25,0,0
C00002,9/1/2024,2024,9,Standard,25,8000,500,200,500,40,5799.25,441.5,40,73.73,1.1,25,0,0
C00002,10/1/2024,2024,10,Standard,25,8000,500,200,500,40,5569.16,412.7,38,65.73,1.7,25,0,0
C00002,11/1/2024,2024,11,Standard,25,8000,500,200,500,40,6229.97,474.5,42,118.45,2.8,25,0,0
C00002,12/1/2024,2024,12,Standard,25,8000,500,200,500,40,9484.03,430,59,208.18,3.4,26.48,1,0
C00003,1/1/2022,2022,1,Premium,40,15000,1000,300,2000,100,5419.82,301.9,145,1022.25,14.4,40,0,0
C00003,2/1/2022,2022,2,Premium,40,15000,1000,300,2000,100,7120.52,262.4,119,1993.72,47.4,40,0,0
C00003,3/1/2022,2022,3,Premium,40,15000,1000,300,2000,100,11096.31,228.8,177,1285.97,28.9,40,0,0
C00003,4/1/2022,2022,4,Premium,40,15000,1000,300,2000,100,7563.48,189.2,145,2467.85,56.1,42.34,1,0
C00003,5/1/2022,2022,5,Premium,40,15000,1000,300,2000,100,5645.18,283.9,124,1447.94,33.7,40,0,0
C00003,6/1/2022,2022,6,Premium,40,15000,1000,300,2000,100,4076.01,252.8,156,1256.62,18.7,40,0,0
C00003,7/1/2022,2022,7,Premium,40,15000,1000,300,2000,100,4875.95,207.8,125,1229.88,22.5,40,0,0
C00003,8/1/2022,2022,8,Premium,40,15000,1000,300,2000,100,8165.79,265.3,121,852.28,13.1,40,0,0
C00003,9/1/2022,2022,9,Premium,40,15000,1000,300,2000,100,11736.66,199.1,164,2261.29,55.1,41.31,1,0
C00003,10/1/2022,2022,10,Premium,40,15000,1000,300,2000,100,8324.94,239.7,133,2253.38,48.4,41.27,1,0
C00003,11/1/2022,2022,11,Premium,40,15000,1000,300,2000,100,5300.25,281.8,158,1623.74,29.2,40,0,0
C00003,12/1/2022,2022,12,Premium,40,15000,1000,300,2000,100,4086.63,231.3,112,914.87,13.5,40,0,0
C00003,1/1/2023,2023,1,Premium,40,15000,1000,300,2000,100,4898.78,287,144,1422.18,25.2,40,0,0
C00003,2/1/2023,2023,2,Premium,40,15000,1000,300,2000,100,7862.9,246.9,206,1734.93,31.1,40,0,0
C00003,3/1/2023,2023,3,Premium,40,15000,1000,300,2000,100,8596.73,258.9,78,2286.88,52,41.43,1,0
C00003,4/1/2023,2023,4,Premium,40,15000,1000,300,2000,100,7720.77,204.1,156,1975.2,42.8,40,0,0
C00003,5/1/2023,2023,5,Premium,40,15000,1000,300,2000,100,4384.63,216.5,69,1479.85,36.5,40,0,0
C00003,6/1/2023,2023,6,Premium,40,15000,1000,300,2000,100,4499.37,211.3,157,575.29,11.3,40,0,0
C00003,7/1/2023,2023,7,Premium,40,15000,1000,300,2000,100,4945.82,254.8,125,1312.66,20.3,40,0,0
C00003,8/1/2023,2023,8,Premium,40,15000,1000,300,2000,100,8225.41,227.7,127,1733.35,39.1,40,0,0
C00003,9/1/2023,2023,9,Premium,40,15000,1000,300,2000,100,9342.06,213.6,103,2951.15,68.3,44.76,1,0
C00003,10/1/2023,2023,10,Premium,40,15000,1000,300,2000,100,5604.58,273.4,108,1786.07,37,40,0,0
C00003,11/1/2023,2023,11,Premium,40,15000,1000,300,2000,100,6405.59,228.4,166,1700.12,39.5,40,0,0
C00003,12/1/2023,2023,12,Premium,40,15000,1000,300,2000,100,4050.4,146.6,129,1186.99,23.7,40,0,0
C00003,1/1/2024,2024,1,Premium,40,15000,1000,300,2000,100,4927.3,238.7,92,2310,46.8,41.55,1,0
C00003,2/1/2024,2024,2,Premium,40,15000,1000,300,2000,100,8054.76,206.2,132,1338.23,25.6,40,0,0
C00003,3/1/2024,2024,3,Premium,40,15000,1000,300,2000,100,6747.93,223.8,120,454.68,6.5,40,0,0
C00003,4/1/2024,2024,4,Premium,40,15000,1000,300,2000,100,7432.41,277.2,127,3177.52,48.6,45.89,1,0
C00003,5/1/2024,2024,5,Premium,40,15000,1000,300,2000,100,5535.39,272.9,179,1912.57,27.5,40,0,0
C00003,6/1/2024,2024,6,Premium,40,15000,1000,300,2000,100,5031.17,296,144,768.59,16.6,40,0,0
C00003,7/1/2024,2024,7,Premium,40,15000,1000,300,2000,100,5654.22,301.7,137,1384.38,24.6,40,0,0
C00003,8/1/2024,2024,8,Premium,40,15000,1000,300,2000,100,7726.97,246.4,108,1279.33,25.7,40,0,0
